frequency	inoise
1.000000000000000e+03	1.825463e-11
1.023292992280754e+03	1.823692e-11
1.047128548050900e+03	1.821960e-11
1.071519305237606e+03	1.820266e-11
1.096478196143185e+03	1.818609e-11
1.122018454301963e+03	1.816989e-11
1.148153621496883e+03	1.815403e-11
1.174897554939529e+03	1.813853e-11
1.202264434617413e+03	1.812336e-11
1.230268770812381e+03	1.810853e-11
1.258925411794167e+03	1.809402e-11
1.288249551693134e+03	1.807984e-11
1.318256738556407e+03	1.806596e-11
1.348962882591653e+03	1.805239e-11
1.380384264602884e+03	1.803912e-11
1.412537544622754e+03	1.802614e-11
1.445439770745927e+03	1.801345e-11
1.479108388168207e+03	1.800104e-11
1.513561248436208e+03	1.798890e-11
1.548816618912481e+03	1.797703e-11
1.584893192461113e+03	1.796543e-11
1.621810097358929e+03	1.795408e-11
1.659586907437560e+03	1.794298e-11
1.698243652461744e+03	1.793213e-11
1.737800828749375e+03	1.792152e-11
1.778279410038922e+03	1.791114e-11
1.819700858609983e+03	1.790100e-11
1.862087136662866e+03	1.789108e-11
1.905460717963246e+03	1.788138e-11
1.949844599758044e+03	1.787190e-11
1.995262314968878e+03	1.786262e-11
2.041737944669528e+03	1.785356e-11
2.089296130854038e+03	1.784469e-11
2.137962089502230e+03	1.783603e-11
2.187761623949551e+03	1.782755e-11
2.238721138568338e+03	1.781927e-11
2.290867652767771e+03	1.781117e-11
2.344228815319920e+03	1.780325e-11
2.398832919019488e+03	1.779551e-11
2.454708915685028e+03	1.778794e-11
2.511886431509578e+03	1.778054e-11
2.570395782768861e+03	1.777330e-11
2.630267991895379e+03	1.776623e-11
2.691534803926913e+03	1.775932e-11
2.754228703338164e+03	1.775256e-11
2.818382931264451e+03	1.774595e-11
2.884031503126603e+03	1.773949e-11
2.951209226666382e+03	1.773317e-11
3.019951720402013e+03	1.772700e-11
3.090295432513587e+03	1.772097e-11
3.162277660168375e+03	1.771507e-11
3.235936569296278e+03	1.770930e-11
3.311311214825906e+03	1.770366e-11
3.388441561392021e+03	1.769815e-11
3.467368504525311e+03	1.769276e-11
3.548133892335749e+03	1.768749e-11
3.630780547701007e+03	1.768235e-11
3.715352290971719e+03	1.767731e-11
3.801893963205605e+03	1.767239e-11
3.890451449942799e+03	1.766758e-11
3.981071705534966e+03	1.766289e-11
4.073802778041120e+03	1.765829e-11
4.168693834703347e+03	1.765380e-11
4.265795188015919e+03	1.764941e-11
4.365158322401651e+03	1.764512e-11
4.466835921509622e+03	1.764092e-11
4.570881896148741e+03	1.763682e-11
4.677351412871973e+03	1.763282e-11
4.786300923226374e+03	1.762890e-11
4.897788193684452e+03	1.762507e-11
5.011872336272713e+03	1.762133e-11
5.128613839913639e+03	1.761767e-11
5.248074602497716e+03	1.761409e-11
5.370317963702517e+03	1.761060e-11
5.495408738576235e+03	1.760718e-11
5.623413251903480e+03	1.760384e-11
5.754399373371558e+03	1.760058e-11
5.888436553555878e+03	1.759739e-11
6.025595860743566e+03	1.759427e-11
6.165950018614810e+03	1.759122e-11
6.309573444801920e+03	1.758825e-11
6.456542290346542e+03	1.758533e-11
6.606934480075946e+03	1.758249e-11
6.760829753919804e+03	1.757971e-11
6.918309709189351e+03	1.757699e-11
7.079457843841365e+03	1.757433e-11
7.244359600749885e+03	1.757174e-11
7.413102413009159e+03	1.756920e-11
7.585775750291821e+03	1.756672e-11
7.762471166286900e+03	1.756429e-11
7.943282347242797e+03	1.756192e-11
8.128305161640974e+03	1.755961e-11
8.317637711026691e+03	1.755734e-11
8.511380382023744e+03	1.755513e-11
8.709635899560786e+03	1.755297e-11
8.912509381337435e+03	1.755086e-11
9.120108393559076e+03	1.754879e-11
9.332543007969889e+03	1.754677e-11
